Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Victor Oladipo,37:46,6,18,.333,1,4,.250,4,5,.800,1,6,7,4,0,0,1,3,17,-6,0
Russell Westbrook,36:22,7,26,.269,1,6,.167,5,8,.625,5,7,12,10,1,1,4,3,20,-19,0
Steven Adams,27:08,3,4,.750,0,0,nan,1,1,1.000,2,8,10,1,0,1,4,3,7,-17,0
Domantas Sabonis,25:36,6,12,.500,0,3,.000,0,0,nan,2,3,5,0,0,0,2,1,12,-13,0
Andre Roberson,23:25,2,5,.400,0,2,.000,0,0,nan,1,4,5,0,1,0,0,2,4,-10,0
Jerami Grant,25:03,3,8,.375,2,5,.400,0,0,nan,1,3,4,1,1,1,0,4,8,-12,0
Joffrey Lauvergne,20:56,6,10,.600,0,0,nan,1,2,.500,0,6,6,1,0,0,3,0,13,+6,0
Cameron Payne,20:18,3,11,.273,2,3,.667,0,0,nan,0,4,4,2,2,1,1,2,8,-6,0
Kyle Singler,15:46,1,5,.200,0,2,.000,0,0,nan,1,1,2,0,0,0,1,1,2,+2,0
Alex Abrines,7:40,0,1,.000,0,1,.000,0,0,nan,0,0,0,1,0,0,0,0,0,-5,0
Anthony Morrow,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Nick Collison,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Semaj Christon,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,37,100,.370,6,26,.231,11,16,.688,13,42,55,20,5,4,16,19,91,nan,0
LeBron James,36:50,9,18,.500,0,2,.000,7,10,.700,1,13,14,8,1,0,2,1,25,+11,1
Kyrie Irving,34:43,12,22,.545,2,6,.333,3,3,1.000,0,3,3,10,1,0,2,3,29,+24,1
Iman Shumpert,33:38,5,11,.455,5,8,.625,1,2,.500,2,1,3,1,1,0,1,4,16,+22,1
Tristan Thompson,33:35,7,15,.467,0,0,nan,5,5,1.000,5,6,11,1,4,4,1,1,19,+26,1
Kevin Love,12:19,0,4,.000,0,3,.000,1,2,.500,0,8,8,1,0,0,0,1,1,-3,1
Richard Jefferson,30:51,4,5,.800,0,1,.000,0,0,nan,0,4,4,0,1,0,0,3,8,+20,1
Kyle Korver,16:27,1,7,.143,1,6,.167,0,0,nan,0,1,1,0,0,0,0,0,3,-2,1
Channing Frye,15:05,2,4,.500,0,2,.000,0,0,nan,0,5,5,1,0,0,0,1,4,-3,1
Kay Felder,11:31,0,3,.000,0,0,nan,0,0,nan,0,0,0,0,0,1,3,1,0,-10,1
James Jones,10:47,1,2,.500,0,1,.000,0,0,nan,0,0,0,0,0,0,0,1,2,+1,1
DeAndre Liggins,2:11,0,1,.000,0,0,nan,0,0,nan,0,1,1,0,1,1,1,0,0,-3,1
Jordan McRae,2:03,0,0,nan,0,0,nan,0,0,nan,0,1,1,0,0,0,0,0,0,-3,1
240,37,100,.370,6,26,.231,11,16,.688,13,42,55,20,5,4,16,19,91,nan,240,1
