Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Kyrie Irving,40:02,8,23,.348,2,6,.333,1,2,.500,0,2,2,7,2,0,3,1,19,-17,0
LeBron James,39:22,12,18,.667,1,3,.333,4,5,.800,0,11,11,14,3,1,4,2,29,-11,0
Kevin Love,30:11,12,23,.522,2,7,.286,1,1,1.000,4,3,7,0,2,0,1,3,27,-8,0
Tristan Thompson,21:14,4,7,.571,0,0,nan,0,0,nan,2,2,4,1,2,0,0,2,8,-18,0
J.R. Smith,13:59,0,2,.000,0,2,.000,0,0,nan,1,1,2,0,0,0,1,4,0,-18,0
Kyle Korver,23:21,2,4,.500,1,3,.333,3,3,1.000,0,0,0,1,1,0,0,0,8,-3,0
Iman Shumpert,21:41,1,6,.167,0,2,.000,4,4,1.000,1,3,4,0,3,0,0,1,6,-5,0
Deron Williams,14:11,0,5,.000,0,2,.000,0,0,nan,1,2,3,3,1,0,0,2,0,-8,0
Richard Jefferson,13:09,2,3,.667,1,2,.500,2,4,.500,0,1,1,0,1,0,0,3,7,-7,0
Channing Frye,11:11,1,5,.200,0,1,.000,0,0,nan,0,3,3,1,0,0,0,0,2,0,0
Dahntay Jones,4:05,1,1,1.000,0,0,nan,0,0,nan,1,2,3,0,0,0,0,0,2,0,0
Derrick Williams,3:47,2,3,.667,1,1,1.000,0,0,nan,0,0,0,0,0,0,0,0,5,0,0
James Jones,3:47,0,0,nan,0,0,nan,0,0,nan,0,1,1,0,0,0,0,0,0,0,0
Team Totals,240,45,100,.450,8,29,.276,15,19,.789,10,31,41,27,15,1,9,18,113,nan,0
Kevin Durant,40:42,13,22,.591,4,8,.500,3,3,1.000,2,11,13,6,3,5,3,4,33,+21,1
Klay Thompson,37:07,8,12,.667,4,7,.571,2,3,.667,1,6,7,1,0,0,2,2,22,+24,1
Stephen Curry,36:15,7,17,.412,4,11,.364,14,14,1.000,2,8,10,11,1,0,8,3,32,+21,1
Draymond Green,24:39,4,8,.500,3,6,.500,1,2,.500,0,6,6,6,1,0,3,5,12,+14,1
Zaza Pachulia,12:43,1,2,.500,0,0,nan,0,0,nan,2,0,2,0,0,0,2,1,2,+13,1
Andre Iguodala,28:20,2,6,.333,1,4,.250,0,0,nan,1,3,4,5,0,1,1,0,5,+9,1
Shaun Livingston,19:08,4,7,.571,0,0,nan,2,2,1.000,0,1,1,1,0,0,0,2,10,-10,1
Ian Clark,12:33,4,8,.500,2,5,.400,0,0,nan,0,2,2,2,0,0,1,1,10,+1,1
David West,11:20,1,2,.500,0,1,.000,0,0,nan,0,3,3,2,0,1,0,0,2,+4,1
Patrick McCaw,7:13,0,0,nan,0,0,nan,0,0,nan,0,1,1,0,0,0,0,0,0,+3,1
James Michael McAdoo,4:06,1,2,.500,0,0,nan,0,0,nan,1,0,1,0,0,0,0,0,2,-2,1
Matt Barnes,3:09,0,1,.000,0,1,.000,0,0,nan,0,0,0,0,0,0,0,0,0,-2,1
JaVale McGee,2:46,1,2,.500,0,0,nan,0,0,nan,1,2,3,0,0,0,0,1,2,-1,1
240,45,100,.450,8,29,.276,15,19,.789,10,31,41,27,15,1,9,18,113,nan,240,1
